mu,alpha,sigma_inicial,replica,aptitud
30,1.05,0.05,0,1.8108586719168944
30,1.05,0.05,1,1.9127219850515234
30,1.05,0.05,2,1.807924734108866
30,1.05,0.05,3,1.8717970303649958
30,1.05,0.05,4,1.7623145841399928
30,1.05,0.05,5,1.7376900504842763
30,1.05,0.05,6,1.892329341651078
30,1.05,0.05,7,2.3790383214382316
30,1.05,0.05,8,2.600773391920703
30,1.05,0.05,9,1.8729599081124295
30,1.05,0.5,0,1.897124858604545
30,1.05,0.5,1,1.7521674755128358
30,1.05,0.5,2,1.7325891793997537
30,1.05,0.5,3,1.7604886487670968
30,1.05,0.5,4,1.776873556743375
30,1.05,0.5,5,1.8239631566780843
30,1.05,0.5,6,1.7377887276155874
30,1.05,0.5,7,1.7385676089255444
30,1.05,0.5,8,1.7351734752337258
30,1.05,0.5,9,1.7338044288881114
30,1.05,1.5,0,1.7358653265387336
30,1.05,1.5,1,1.7359989219609169
30,1.05,1.5,2,1.7431449316669974
30,1.05,1.5,3,1.734103936010959
30,1.05,1.5,4,1.732762504364822
30,1.05,1.5,5,1.7318706875431014
30,1.05,1.5,6,1.734223159363705
30,1.05,1.5,7,1.7349598959412116
30,1.05,1.5,8,1.7484773551401458
30,1.05,1.5,9,1.7360845143905332
30,1.05,3.0,0,1.7379053978880834
30,1.05,3.0,1,1.7328959075024046
30,1.05,3.0,2,1.7365450566660907
30,1.05,3.0,3,1.7368394953349435
30,1.05,3.0,4,1.7406129036671358
30,1.05,3.0,5,1.731985608969859
30,1.05,3.0,6,1.7391604351773522
30,1.05,3.0,7,1.7455477388665024
30,1.05,3.0,8,1.7356333468805538
30,1.05,3.0,9,1.7383306260360083
30,1.1,0.05,0,1.8209635704094211
30,1.1,0.05,1,1.8810191019412872
30,1.1,0.05,2,1.8141352474444599
30,1.1,0.05,3,1.8998850463377999
30,1.1,0.05,4,1.7350314644240528
30,1.1,0.05,5,1.7334928797473983
30,1.1,0.05,6,1.876595106299812
30,1.1,0.05,7,2.3723566114063406
30,1.1,0.05,8,2.434100716789075
30,1.1,0.05,9,1.8514198845348862
30,1.1,0.5,0,1.7663700769435045
30,1.1,0.5,1,1.7799958069697348
30,1.1,0.5,2,1.7382176027840721
30,1.1,0.5,3,1.9170041239493698
30,1.1,0.5,4,1.9756797429800539
30,1.1,0.5,5,1.9051546721174968
30,1.1,0.5,6,1.8685848939774772
30,1.1,0.5,7,1.7781300750787032
30,1.1,0.5,8,1.7333020706684825
30,1.1,0.5,9,1.7321693084229144
30,1.1,1.5,0,1.7467920185698036
30,1.1,1.5,1,1.733560561019189
30,1.1,1.5,2,2.0224118323170392
30,1.1,1.5,3,1.7334299806189293
30,1.1,1.5,4,1.733887313975503
30,1.1,1.5,5,1.7396336267981631
30,1.1,1.5,6,1.734058531393691
30,1.1,1.5,7,1.8880998831594005
30,1.1,1.5,8,1.7340530412379573
30,1.1,1.5,9,1.735472048776189
30,1.1,3.0,0,1.7827473456614995
30,1.1,3.0,1,1.7366653793468783
30,1.1,3.0,2,1.7354882088028571
30,1.1,3.0,3,1.8197566068313848
30,1.1,3.0,4,1.7885148275755935
30,1.1,3.0,5,1.7340376973682028
30,1.1,3.0,6,1.786857544557719
30,1.1,3.0,7,1.8797764288041074
30,1.1,3.0,8,1.7337485495328455
30,1.1,3.0,9,1.779075405487883
30,1.15,0.05,0,1.8133959569306382
30,1.15,0.05,1,1.8567978094944968
30,1.15,0.05,2,1.8048500154801128
30,1.15,0.05,3,1.948674869383873
30,1.15,0.05,4,1.7673354192910504
30,1.15,0.05,5,1.737258825626494
30,1.15,0.05,6,1.857696903251391
30,1.15,0.05,7,2.320746399956899
30,1.15,0.05,8,2.321213329879758
30,1.15,0.05,9,1.8483330941029261
30,1.15,0.5,0,2.024340864478019
30,1.15,0.5,1,2.015468044946628
30,1.15,0.5,2,1.7373649925525623
30,1.15,0.5,3,1.8583419955864358
30,1.15,0.5,4,1.8967733226550458
30,1.15,0.5,5,1.7619049658163888
30,1.15,0.5,6,1.7445361881979695
30,1.15,0.5,7,1.8696349079730499
30,1.15,0.5,8,1.7399617590203473
30,1.15,0.5,9,1.7946986552292272
